feature,driver,spearman_rho,spearman_p,kruskal_h,kruskal_p,mutual_info,composite_score
VSDY_mean__anom_peak_neg,VSDY_mean,-0.3094806872460635,0.3276399437514935,3.7179487179487154,0.4455207687440388,0.32463924963925006,1.2947326698749206
zos_max__anom_abs_sum,zos_max,-0.12955005512625917,0.6882128190799855,6.102564102564109,0.19161853801677267,0.31778499278499295,1.2944475807095523
VMDR_mean__anom_peak_pos,VMDR_mean,0.40664322859075785,0.18958074270264294,4.602564102564102,0.3305586563368271,0.0,1.2940379226682635
uo_mean__iqr,uo_mean,0.2842903987492909,0.3704950049825865,5.602564102564102,0.2308600353819545,0.08878066378066429,1.2940127033939808
uo_max__iqr,uo_max,0.2842903987492909,0.3704950049825865,5.602564102564102,0.2308600353819545,0.08878066378066385,1.2940127033939803
uo_max__run_neg,uo_max,0.33164555877539403,0.292291188300434,3.736111111111119,0.4428955736274599,0.2696248196248201,1.2866145972799685
northward_wind_max__slope,northward_wind_max,0.41743906651794616,0.1769584369228486,3.775641025641029,0.43722014649068774,0.0889249639249643,1.283102931540959
uo_max__slope,uo_max,-0.40664322859075785,0.18958074270264294,4.506410256410263,0.34178806583817384,0.0,1.2795295627250536
uo_mean__slope,uo_mean,-0.40664322859075785,0.18958074270264294,4.506410256410263,0.34178806583817384,0.0,1.2795295627250536
vo_max__run_neg,vo_max,-0.48876260995383936,0.10686881026926118,3.3113695090439217,0.5071328785938172,0.0,1.2724034521335743
vo_mean__run_neg,vo_mean,-0.48876260995383936,0.10686881026926118,3.3113695090439217,0.5071328785938172,0.0,1.2724034521335743
VTPK_mean__slope,VTPK_mean,-0.4246362918027384,0.16884337335430183,3.160256410256416,0.5313740311895117,0.1457070707070709,1.2695793281491743
VMDR_mean__anom_pos_months,VMDR_mean,0.34345736702386076,0.27437430977732513,5.2056089743589835,0.2668437705713829,0.0,1.2606576653290182
zos_mean__anom_abs_sum,zos_mean,-0.12955005512625917,0.6882128190799855,6.102564102564109,0.19161853801677267,0.2655122655122659,1.2421748534368255
zos_max__run_pos,zos_max,0.3409152615426852,0.27817582538738933,4.7940613026819925,0.30908809700537165,0.04935064935064992,1.241098891746661
vo_max__anom_abs_sum,vo_max,0.13314866776865522,0.6799524111289208,4.7307692307692335,0.3160539474958838,0.4735209235209237,1.2400570400457493
vo_max__slope,vo_max,0.4246362918027384,0.16884337335430183,3.9807692307692335,0.4086147075160017,0.0,1.2379585892030218
vo_mean__slope,vo_mean,0.4246362918027384,0.16884337335430183,3.9807692307692335,0.4086147075160017,0.0,1.2379585892030218
uo_mean__run_pos,uo_mean,-0.4604593272188023,0.13196932497448519,3.4427884615384627,0.4866306332547434,0.0,1.2337192102719325
VHM0_max__iqr,VHM0_max,-0.07197225284792176,0.8240983996170819,7.923076923076927,0.09443697528318387,0.057864357864358285,1.226666794920824
zos_max__anom_pos_months,zos_max,0.2598244313959805,0.4147568629132664,5.657389937106914,0.22623727010669664,0.056204906204906147,1.2212896172633556
vo_mean__anom_peak_neg,vo_mean,-0.18712785740459653,0.5603244610408404,5.160256410256409,0.2712458716766648,0.26807359307359335,1.2089661708741397
wind_speed_max__run_neg,wind_speed_max,-0.42163702135578396,0.17219607489127123,3.819444444444443,0.43099249506333526,0.0,1.208804334918641
VTPK_mean__anom_neg_months,VTPK_mean,-0.3561525995012472,0.25583918338254147,4.697028423772612,0.3198198267145444,0.0,1.207399815370113
