Transect,RMSE_deg,MAE_deg,RMSE_m,MAE_m
Transect_106,2.6103704865594173e-05,2.5687422736014417e-05,2.897511240080953,2.8513039236976003
Transect_107,1.0153223905093569e-05,7.57556933048364e-06,1.127007853465386,0.840888195683684
Transect_108,1.3365399905016122e-05,1.0226546752408339e-05,1.4835593894567896,1.1351466895173257
Transect_109,2.749563130371112e-05,2.313280747619207e-05,3.0520150747119343,2.5677416298573195
Transect_110,3.271917754462077e-05,2.755247698246831e-05,3.6318287074529056,3.0583249450539824
Transect_111,4.396020417633925e-05,3.655311102789047e-05,4.879582663573657,4.057395324095842
Transect_112,4.764714395091801e-05,3.969207782517174e-05,5.288832978551899,4.405820638594063
Transect_113,4.80851391162687e-05,3.9071186904126486e-05,5.337450441905826,4.33690174635804
Transect_114,4.773820604758663e-05,3.969877412756068e-05,5.298940871282116,4.406563928159235
Transect_115,5.7077723259023645e-05,4.696159567473199e-05,6.335627281751624,5.212737119895251
Transect_116,6.08964330357269e-05,4.720750974125147e-05,6.759504066965686,5.240033581278913
Transect_117,6.514999555085631e-05,4.892100935260999e-05,7.23164950614505,5.4302320381397085
Transect_118,6.703981064012231e-05,5.378524779633801e-05,7.441418981053577,5.970162505393519
Transect_119,7.180646768264926e-05,5.752369320228746e-05,7.970517912774068,6.385129945453908
Transect_120,7.938065337088869e-05,6.429370783853834e-05,8.811252524168644,7.136601570077756
Transect_121,9.1775878458062e-05,7.371593511731829e-05,10.187122508844881,8.182468798022331
Transect_122,0.0001012294733710505,8.403855497397269e-05,11.236471544186607,9.328279602110968
Transect_123,0.00010437089157703048,8.506979179352538e-05,11.585168965050384,9.442746889081317
Transect_124,0.00011290328051286694,9.006670565229097e-05,12.53226413692823,9.997404327404297
Transect_125,0.00012485290429304656,0.00010399822521911083,13.858672376528169,11.543802999321302
Transect_126,0.00012254168566393347,0.00010553537329145864,13.602127108696616,11.714426435351909
Transect_127,0.00013112865307551621,0.00011343945908292561,14.5552804913823,12.591779958204743
Transect_128,0.0001455981095776495,0.00013445893616855813,16.161390163119094,14.924941914709953
Transect_129,0.00015812280666638662,0.00014942117545409952,17.551631539968913,16.585750475405046
Transect_130,0.0001718042574579843,0.00016438529731146128,19.070272577836256,18.246768001572203
Transect_131,0.00017192277080086907,0.00016504059402127383,19.083427558896467,18.319505936361395
Transect_132,0.0001923603055935545,0.00018448881395526795,21.35199392088455,20.478258349034743
Transect_133,0.00018279726425871867,0.00017647958785095704,20.290496332717773,19.589234251456233
Transect_134,0.0001804732230987624,0.00017330423473899177,20.032527763962626,19.236770056028085
Transect_135,0.0001902426382261641,0.00018304132993530724,21.116932843104216,20.317587622819104
Transect_136,0.0001961750671699295,0.00018790384012831778,21.775432455862173,20.857326254243272
Transect_137,0.00017312085684637046,0.00016588247817528898,19.21641510994712,18.412955077457077
Transect_138,0.00014231631094631112,0.00013499591827752138,15.797110515040535,14.984546928804873
Transect_139,0.00010717778153264381,9.887583466571483e-05,11.896733750123463,10.975217647894347
Transect_140,9.094954818345925e-05,8.163705440427266e-05,10.095399848363977,9.061713038874265
Transect_141,6.297959546038504e-05,5.168414926544316e-05,6.99073509610274,5.736940568464191
Transect_142,5.9388955000664264e-05,5.119223621419284e-05,6.592174005073733,5.6823382197754055
Transect_143,8.810794231925828e-05,7.573061114559548e-05,9.77998159743767,8.406097837161099
Transect_144,6.539212876901501e-05,5.404935710283828e-05,7.258526293360666,5.999478638415049
Transect_145,7.434047224797614e-05,6.296102687015768e-05,8.251792419525351,6.988673982587502
Transect_146,7.572102296655563e-05,6.627477752968222e-05,8.405033549287676,7.356500305794727
Transect_147,9.255509969349384e-05,8.201447832563816e-05,10.273616065977816,9.103607094145836
Transect_148,0.00010877307663492773,9.859211639118474e-05,12.073811506476979,10.943724919421506
Transect_149,0.00010441533088745528,9.309803454651925e-05,11.590101728507536,10.333881834663636
Transect_150,8.768350688550183e-05,7.43851563835871e-05,9.732869264290702,8.256752358578169
Transect_151,8.428206742760623e-05,7.630690790676356e-05,9.355309484464291,8.470066777650755
Transect_152,8.797984928830573e-05,7.956348612367572e-05,9.765763271001935,8.831546959728005
Transect_153,6.913414382251254e-05,5.7338119671922104e-05,7.673889964298892,6.364531283583354
Transect_154,6.520306889877376e-05,5.000660717119944e-05,7.237540647763888,5.550733396003138
Transect_155,6.611074727876745e-05,5.11004922025947e-05,7.338292947943186,5.672154634488011
Transect_156,5.16494058977221e-05,3.489750144039871e-05,5.733084054647152,3.873622659884257
Transect_157,5.4005830224286294e-05,3.683547879315052e-05,5.9946471548957785,4.088738146039708
Transect_158,6.150901373245019e-05,4.0917763885833225e-05,6.827500524301971,4.5418717913274875
Transect_159,6.235346160180693e-05,3.84049329569679e-05,6.921234237800569,4.262947558223437
Transect_160,6.99253806566601e-05,4.628546592656399e-05,7.761717252889271,5.137686717848602
Transect_161,5.482808371491293e-05,4.247055608737567e-05,6.085917292355335,4.714231725698699
Transect_162,3.453952717397969e-05,2.702320541935335e-05,3.8338875163117456,2.9995758015482217
